index,Day,Month,Year,Hour,Wind Speed m/s,Wind Direction,High Wind Speed m/s,High Wind Direction,Date,fecha
26123,30.0,12.0,2022.0,0.0,0.4,W,1.3,W,2022-12-30 00:00:00,2022-12-30 00:00:00
26124,30.0,12.0,2022.0,1.0,0.4,W,1.3,W,2022-12-30 01:00:00,2022-12-30 01:00:00
26125,30.0,12.0,2022.0,2.0,0.0,,0.0,,2022-12-30 02:00:00,2022-12-30 02:00:00
26126,30.0,12.0,2022.0,3.0,0.0,,0.9,W,2022-12-30 03:00:00,2022-12-30 03:00:00
26127,30.0,12.0,2022.0,4.0,0.0,,0.0,,2022-12-30 04:00:00,2022-12-30 04:00:00
26128,30.0,12.0,2022.0,5.0,0.0,,0.0,,2022-12-30 05:00:00,2022-12-30 05:00:00
26129,30.0,12.0,2022.0,6.0,0.0,,1.3,NW,2022-12-30 06:00:00,2022-12-30 06:00:00
26130,30.0,12.0,2022.0,7.0,0.4,E,1.8,SSE,2022-12-30 07:00:00,2022-12-30 07:00:00
26131,30.0,12.0,2022.0,8.0,0.9,ENE,2.2,SSE,2022-12-30 08:00:00,2022-12-30 08:00:00
26132,30.0,12.0,2022.0,9.0,1.3,S,3.6,SSE,2022-12-30 09:00:00,2022-12-30 09:00:00
26133,30.0,12.0,2022.0,10.0,1.8,SSE,4.5,S,2022-12-30 10:00:00,2022-12-30 10:00:00
26134,30.0,12.0,2022.0,11.0,2.2,SSE,7.2,SSE,2022-12-30 11:00:00,2022-12-30 11:00:00
26135,30.0,12.0,2022.0,12.0,2.7,S,7.2,S,2022-12-30 12:00:00,2022-12-30 12:00:00
26136,30.0,12.0,2022.0,13.0,2.2,S,6.7,S,2022-12-30 13:00:00,2022-12-30 13:00:00
26137,30.0,12.0,2022.0,14.0,2.2,S,7.6,S,2022-12-30 14:00:00,2022-12-30 14:00:00
26138,30.0,12.0,2022.0,15.0,2.7,S,7.2,S,2022-12-30 15:00:00,2022-12-30 15:00:00
26139,30.0,12.0,2022.0,16.0,2.7,S,6.3,S,2022-12-30 16:00:00,2022-12-30 16:00:00
26140,30.0,12.0,2022.0,17.0,2.2,S,6.7,SSE,2022-12-30 17:00:00,2022-12-30 17:00:00
26141,30.0,12.0,2022.0,18.0,1.3,S,5.8,S,2022-12-30 18:00:00,2022-12-30 18:00:00
26142,30.0,12.0,2022.0,19.0,0.4,NE,2.7,SSW,2022-12-30 19:00:00,2022-12-30 19:00:00
26143,30.0,12.0,2022.0,20.0,0.4,NE,1.3,NE,2022-12-30 20:00:00,2022-12-30 20:00:00
26144,30.0,12.0,2022.0,21.0,0.4,E,1.8,NE,2022-12-30 21:00:00,2022-12-30 21:00:00
26145,30.0,12.0,2022.0,22.0,0.0,,1.3,ENE,2022-12-30 22:00:00,2022-12-30 22:00:00
26146,30.0,12.0,2022.0,23.0,0.0,,1.3,W,2022-12-30 23:00:00,2022-12-30 23:00:00
26147,31.0,12.0,2022.0,0.0,0.0,,0.9,W,2022-12-31 00:00:00,2022-12-31 00:00:00
26148,31.0,12.0,2022.0,1.0,0.0,,0.9,WNW,2022-12-31 01:00:00,2022-12-31 01:00:00
26149,31.0,12.0,2022.0,2.0,0.0,,1.3,WNW,2022-12-31 02:00:00,2022-12-31 02:00:00
26150,31.0,12.0,2022.0,3.0,0.4,NNW,1.8,N,2022-12-31 03:00:00,2022-12-31 03:00:00
26151,31.0,12.0,2022.0,4.0,1.3,NNE,6.7,NNE,2022-12-31 04:00:00,2022-12-31 04:00:00
26152,31.0,12.0,2022.0,5.0,2.2,NNE,7.6,NNE,2022-12-31 05:00:00,2022-12-31 05:00:00
26153,31.0,12.0,2022.0,6.0,2.7,NNE,7.2,N,2022-12-31 06:00:00,2022-12-31 06:00:00
26154,31.0,12.0,2022.0,7.0,1.8,NNE,7.2,WNW,2022-12-31 07:00:00,2022-12-31 07:00:00
26155,31.0,12.0,2022.0,8.0,2.2,NNE,8.0,NNE,2022-12-31 08:00:00,2022-12-31 08:00:00
26156,31.0,12.0,2022.0,9.0,1.3,NE,8.5,NNE,2022-12-31 09:00:00,2022-12-31 09:00:00
26157,31.0,12.0,2022.0,10.0,1.8,NE,7.2,N,2022-12-31 10:00:00,2022-12-31 10:00:00
26158,31.0,12.0,2022.0,11.0,1.3,NE,5.8,NE,2022-12-31 11:00:00,2022-12-31 11:00:00
26159,31.0,12.0,2022.0,12.0,1.8,NE,5.8,NNW,2022-12-31 12:00:00,2022-12-31 12:00:00
26160,31.0,12.0,2022.0,13.0,1.8,ENE,7.2,WNW,2022-12-31 13:00:00,2022-12-31 13:00:00
26161,31.0,12.0,2022.0,14.0,1.3,NE,6.3,NNE,2022-12-31 14:00:00,2022-12-31 14:00:00
26162,31.0,12.0,2022.0,15.0,2.2,NE,7.6,N,2022-12-31 15:00:00,2022-12-31 15:00:00
26163,31.0,12.0,2022.0,16.0,2.2,NE,8.9,NNE,2022-12-31 16:00:00,2022-12-31 16:00:00
26164,31.0,12.0,2022.0,17.0,2.7,SSW,8.9,WSW,2022-12-31 17:00:00,2022-12-31 17:00:00
26165,31.0,12.0,2022.0,18.0,2.7,SW,9.4,N,2022-12-31 18:00:00,2022-12-31 18:00:00
26166,31.0,12.0,2022.0,19.0,2.2,NE,8.5,W,2022-12-31 19:00:00,2022-12-31 19:00:00
26167,31.0,12.0,2022.0,20.0,1.8,NNE,7.6,ENE,2022-12-31 20:00:00,2022-12-31 20:00:00
26168,31.0,12.0,2022.0,21.0,1.8,ENE,6.7,NW,2022-12-31 21:00:00,2022-12-31 21:00:00
26169,31.0,12.0,2022.0,22.0,2.2,NE,8.5,NE,2022-12-31 22:00:00,2022-12-31 22:00:00
26170,31.0,12.0,2022.0,23.0,2.2,NE,7.6,N,2022-12-31 23:00:00,2022-12-31 23:00:00
0,1.0,1.0,2023.0,0.0,2.2,NE,7.6,NW,2023-01-01 00:00:00,2023-01-01 00:00:00
1,1.0,1.0,2023.0,1.0,1.8,NE,6.7,N,2023-01-01 01:00:00,2023-01-01 01:00:00
2,1.0,1.0,2023.0,2.0,2.2,NE,7.6,NNE,2023-01-01 02:00:00,2023-01-01 02:00:00
3,1.0,1.0,2023.0,3.0,3.6,NE,8.0,N,2023-01-01 03:00:00,2023-01-01 03:00:00
4,1.0,1.0,2023.0,4.0,2.7,NE,7.6,NNE,2023-01-01 04:00:00,2023-01-01 04:00:00
5,1.0,1.0,2023.0,5.0,3.6,NNE,10.3,NNE,2023-01-01 05:00:00,2023-01-01 05:00:00
6,1.0,1.0,2023.0,6.0,3.1,NNE,8.5,N,2023-01-01 06:00:00,2023-01-01 06:00:00
7,1.0,1.0,2023.0,7.0,3.6,NNE,10.7,NNE,2023-01-01 07:00:00,2023-01-01 07:00:00
8,1.0,1.0,2023.0,8.0,3.1,NNE,9.4,NNE,2023-01-01 08:00:00,2023-01-01 08:00:00
9,1.0,1.0,2023.0,9.0,3.1,NNE,8.9,N,2023-01-01 09:00:00,2023-01-01 09:00:00
10,1.0,1.0,2023.0,10.0,3.1,NNE,10.3,NNE,2023-01-01 10:00:00,2023-01-01 10:00:00
11,1.0,1.0,2023.0,11.0,3.1,NNE,8.9,NNE,2023-01-01 11:00:00,2023-01-01 11:00:00
12,1.0,1.0,2023.0,12.0,2.7,NNE,7.6,NNE,2023-01-01 12:00:00,2023-01-01 12:00:00
13,1.0,1.0,2023.0,13.0,2.2,NNE,6.3,N,2023-01-01 13:00:00,2023-01-01 13:00:00
14,1.0,1.0,2023.0,14.0,0.9,NE,4.5,NNE,2023-01-01 14:00:00,2023-01-01 14:00:00
15,1.0,1.0,2023.0,15.0,1.8,NNE,5.4,NNE,2023-01-01 15:00:00,2023-01-01 15:00:00
16,1.0,1.0,2023.0,16.0,1.3,S,4.5,SW,2023-01-01 16:00:00,2023-01-01 16:00:00
17,1.0,1.0,2023.0,17.0,2.2,S,5.8,S,2023-01-01 17:00:00,2023-01-01 17:00:00
18,1.0,1.0,2023.0,18.0,1.3,S,4.9,SSE,2023-01-01 18:00:00,2023-01-01 18:00:00
19,1.0,1.0,2023.0,19.0,0.9,NE,2.2,NE,2023-01-01 19:00:00,2023-01-01 19:00:00
20,1.0,1.0,2023.0,20.0,0.0,,1.8,ENE,2023-01-01 20:00:00,2023-01-01 20:00:00
21,1.0,1.0,2023.0,21.0,0.0,,0.9,ENE,2023-01-01 21:00:00,2023-01-01 21:00:00
22,1.0,1.0,2023.0,22.0,0.0,,1.3,ENE,2023-01-01 22:00:00,2023-01-01 22:00:00
23,1.0,1.0,2023.0,23.0,0.0,,0.9,ENE,2023-01-01 23:00:00,2023-01-01 23:00:00
24,2.0,1.0,2023.0,0.0,0.0,,0.9,ENE,2023-01-02 00:00:00,2023-01-02 00:00:00
25,2.0,1.0,2023.0,1.0,0.0,,0.0,,2023-01-02 01:00:00,2023-01-02 01:00:00
26,2.0,1.0,2023.0,2.0,0.0,,0.0,,2023-01-02 02:00:00,2023-01-02 02:00:00
27,2.0,1.0,2023.0,3.0,0.0,,0.0,,2023-01-02 03:00:00,2023-01-02 03:00:00
28,2.0,1.0,2023.0,4.0,0.0,,0.0,,2023-01-02 04:00:00,2023-01-02 04:00:00
29,2.0,1.0,2023.0,5.0,0.0,,0.0,,2023-01-02 05:00:00,2023-01-02 05:00:00
30,2.0,1.0,2023.0,6.0,0.0,,0.0,,2023-01-02 06:00:00,2023-01-02 06:00:00
31,2.0,1.0,2023.0,7.0,0.0,,1.3,NE,2023-01-02 07:00:00,2023-01-02 07:00:00
32,2.0,1.0,2023.0,8.0,0.9,NE,2.2,SSE,2023-01-02 08:00:00,2023-01-02 08:00:00
33,2.0,1.0,2023.0,9.0,1.3,SSE,3.1,SSE,2023-01-02 09:00:00,2023-01-02 09:00:00
34,2.0,1.0,2023.0,10.0,1.8,SSE,4.9,S,2023-01-02 10:00:00,2023-01-02 10:00:00
35,2.0,1.0,2023.0,11.0,2.7,S,7.2,S,2023-01-02 11:00:00,2023-01-02 11:00:00
36,2.0,1.0,2023.0,12.0,3.1,S,9.8,S,2023-01-02 12:00:00,2023-01-02 12:00:00
37,2.0,1.0,2023.0,13.0,3.1,S,8.5,SSE,2023-01-02 13:00:00,2023-01-02 13:00:00
38,2.0,1.0,2023.0,14.0,3.1,S,8.9,SSW,2023-01-02 14:00:00,2023-01-02 14:00:00
39,2.0,1.0,2023.0,15.0,3.6,S,10.3,SSE,2023-01-02 15:00:00,2023-01-02 15:00:00
40,2.0,1.0,2023.0,16.0,3.1,S,8.9,SSE,2023-01-02 16:00:00,2023-01-02 16:00:00
41,2.0,1.0,2023.0,17.0,4.0,S,9.4,S,2023-01-02 17:00:00,2023-01-02 17:00:00
42,2.0,1.0,2023.0,18.0,3.6,SSE,8.0,SSE,2023-01-02 18:00:00,2023-01-02 18:00:00
43,2.0,1.0,2023.0,19.0,2.2,S,8.0,S,2023-01-02 19:00:00,2023-01-02 19:00:00
44,2.0,1.0,2023.0,20.0,1.8,NE,4.5,NE,2023-01-02 20:00:00,2023-01-02 20:00:00
45,2.0,1.0,2023.0,21.0,1.8,NE,4.0,NE,2023-01-02 21:00:00,2023-01-02 21:00:00
46,2.0,1.0,2023.0,22.0,1.3,NE,3.6,E,2023-01-02 22:00:00,2023-01-02 22:00:00
47,2.0,1.0,2023.0,23.0,0.9,SSW,3.6,SSW,2023-01-02 23:00:00,2023-01-02 23:00:00
48,3.0,1.0,2023.0,0.0,1.3,S,4.0,SSE,2023-01-03 00:00:00,2023-01-03 00:00:00
49,3.0,1.0,2023.0,1.0,1.3,SSW,3.6,SSE,2023-01-03 01:00:00,2023-01-03 01:00:00
50,3.0,1.0,2023.0,2.0,1.3,SSW,4.9,ESE,2023-01-03 02:00:00,2023-01-03 02:00:00
51,3.0,1.0,2023.0,3.0,1.8,SSW,6.3,E,2023-01-03 03:00:00,2023-01-03 03:00:00
52,3.0,1.0,2023.0,4.0,1.8,S,5.8,SSE,2023-01-03 04:00:00,2023-01-03 04:00:00
53,3.0,1.0,2023.0,5.0,1.8,S,4.5,SSE,2023-01-03 05:00:00,2023-01-03 05:00:00
54,3.0,1.0,2023.0,6.0,1.8,S,4.9,SSE,2023-01-03 06:00:00,2023-01-03 06:00:00
55,3.0,1.0,2023.0,7.0,1.8,S,5.4,S,2023-01-03 07:00:00,2023-01-03 07:00:00
56,3.0,1.0,2023.0,8.0,0.9,NE,3.6,ENE,2023-01-03 08:00:00,2023-01-03 08:00:00
57,3.0,1.0,2023.0,9.0,1.8,S,4.5,S,2023-01-03 09:00:00,2023-01-03 09:00:00
58,3.0,1.0,2023.0,10.0,2.7,S,7.2,S,2023-01-03 10:00:00,2023-01-03 10:00:00
59,3.0,1.0,2023.0,11.0,3.1,SSE,8.0,SSE,2023-01-03 11:00:00,2023-01-03 11:00:00
60,3.0,1.0,2023.0,12.0,3.1,S,8.5,E,2023-01-03 12:00:00,2023-01-03 12:00:00
61,3.0,1.0,2023.0,13.0,3.6,S,9.4,S,2023-01-03 13:00:00,2023-01-03 13:00:00
62,3.0,1.0,2023.0,14.0,3.1,S,9.8,SSE,2023-01-03 14:00:00,2023-01-03 14:00:00
63,3.0,1.0,2023.0,15.0,4.0,S,11.2,S,2023-01-03 15:00:00,2023-01-03 15:00:00
64,3.0,1.0,2023.0,16.0,3.6,S,8.9,S,2023-01-03 16:00:00,2023-01-03 16:00:00
65,3.0,1.0,2023.0,17.0,2.2,NE,6.7,SSW,2023-01-03 17:00:00,2023-01-03 17:00:00
66,3.0,1.0,2023.0,18.0,1.8,SSW,6.7,S,2023-01-03 18:00:00,2023-01-03 18:00:00
67,3.0,1.0,2023.0,19.0,1.3,NE,4.0,NNE,2023-01-03 19:00:00,2023-01-03 19:00:00
68,3.0,1.0,2023.0,20.0,1.3,NE,4.5,NE,2023-01-03 20:00:00,2023-01-03 20:00:00
69,3.0,1.0,2023.0,21.0,0.9,SSW,3.1,WSW,2023-01-03 21:00:00,2023-01-03 21:00:00
70,3.0,1.0,2023.0,22.0,1.3,SSW,2.7,SSW,2023-01-03 22:00:00,2023-01-03 22:00:00
71,3.0,1.0,2023.0,23.0,0.9,SSW,3.1,S,2023-01-03 23:00:00,2023-01-03 23:00:00
72,4.0,1.0,2023.0,0.0,1.3,SW,3.6,SW,2023-01-04 00:00:00,2023-01-04 00:00:00
73,4.0,1.0,2023.0,1.0,0.9,S,2.2,SSW,2023-01-04 01:00:00,2023-01-04 01:00:00
74,4.0,1.0,2023.0,2.0,0.0,,1.8,ESE,2023-01-04 02:00:00,2023-01-04 02:00:00
75,4.0,1.0,2023.0,3.0,0.4,SW,2.2,SSW,2023-01-04 03:00:00,2023-01-04 03:00:00
76,4.0,1.0,2023.0,4.0,0.4,S,2.2,SW,2023-01-04 04:00:00,2023-01-04 04:00:00
77,4.0,1.0,2023.0,5.0,0.4,SSW,2.2,SSW,2023-01-04 05:00:00,2023-01-04 05:00:00
78,4.0,1.0,2023.0,6.0,0.0,,1.3,SSW,2023-01-04 06:00:00,2023-01-04 06:00:00
79,4.0,1.0,2023.0,7.0,0.0,,1.3,E,2023-01-04 07:00:00,2023-01-04 07:00:00
80,4.0,1.0,2023.0,8.0,0.0,,0.9,SSE,2023-01-04 08:00:00,2023-01-04 08:00:00
81,4.0,1.0,2023.0,9.0,0.4,SW,1.8,SW,2023-01-04 09:00:00,2023-01-04 09:00:00
82,4.0,1.0,2023.0,10.0,0.9,NE,3.6,S,2023-01-04 10:00:00,2023-01-04 10:00:00
83,4.0,1.0,2023.0,11.0,1.3,SSW,4.5,SSE,2023-01-04 11:00:00,2023-01-04 11:00:00
84,4.0,1.0,2023.0,12.0,1.3,SW,4.5,WSW,2023-01-04 12:00:00,2023-01-04 12:00:00
85,4.0,1.0,2023.0,13.0,1.8,NE,6.7,ENE,2023-01-04 13:00:00,2023-01-04 13:00:00
86,4.0,1.0,2023.0,14.0,2.2,NNE,8.9,NNE,2023-01-04 14:00:00,2023-01-04 14:00:00
87,4.0,1.0,2023.0,15.0,2.2,NE,8.5,N,2023-01-04 15:00:00,2023-01-04 15:00:00
88,4.0,1.0,2023.0,16.0,1.8,ENE,8.9,NNE,2023-01-04 16:00:00,2023-01-04 16:00:00
89,4.0,1.0,2023.0,17.0,1.8,ENE,6.3,N,2023-01-04 17:00:00,2023-01-04 17:00:00
90,4.0,1.0,2023.0,18.0,1.3,NE,5.8,NW,2023-01-04 18:00:00,2023-01-04 18:00:00
91,4.0,1.0,2023.0,19.0,1.8,ENE,8.0,NNE,2023-01-04 19:00:00,2023-01-04 19:00:00
92,4.0,1.0,2023.0,20.0,2.7,ENE,13.0,NE,2023-01-04 20:00:00,2023-01-04 20:00:00
93,4.0,1.0,2023.0,21.0,3.1,ENE,11.6,NNE,2023-01-04 21:00:00,2023-01-04 21:00:00
94,4.0,1.0,2023.0,22.0,2.7,ENE,12.1,NNE,2023-01-04 22:00:00,2023-01-04 22:00:00
95,4.0,1.0,2023.0,23.0,3.1,ENE,10.7,NNW,2023-01-04 23:00:00,2023-01-04 23:00:00
96,5.0,1.0,2023.0,0.0,2.7,ENE,11.2,NE,2023-01-05 00:00:00,2023-01-05 00:00:00
97,5.0,1.0,2023.0,1.0,2.7,ENE,10.7,NE,2023-01-05 01:00:00,2023-01-05 01:00:00
98,5.0,1.0,2023.0,2.0,2.7,NE,11.6,NNE,2023-01-05 02:00:00,2023-01-05 02:00:00
99,5.0,1.0,2023.0,3.0,2.7,NE,12.1,NNE,2023-01-05 03:00:00,2023-01-05 03:00:00
100,5.0,1.0,2023.0,4.0,2.7,ENE,12.1,NNE,2023-01-05 04:00:00,2023-01-05 04:00:00
101,5.0,1.0,2023.0,5.0,2.7,ENE,10.7,NNE,2023-01-05 05:00:00,2023-01-05 05:00:00
102,5.0,1.0,2023.0,6.0,2.7,ENE,10.7,NE,2023-01-05 06:00:00,2023-01-05 06:00:00
103,5.0,1.0,2023.0,7.0,2.7,NE,11.2,N,2023-01-05 07:00:00,2023-01-05 07:00:00
104,5.0,1.0,2023.0,8.0,2.7,NE,9.8,SW,2023-01-05 08:00:00,2023-01-05 08:00:00
105,5.0,1.0,2023.0,9.0,2.7,NE,13.9,NNW,2023-01-05 09:00:00,2023-01-05 09:00:00
106,5.0,1.0,2023.0,10.0,3.6,NE,14.8,NE,2023-01-05 10:00:00,2023-01-05 10:00:00
107,5.0,1.0,2023.0,11.0,3.6,NE,14.3,NNE,2023-01-05 11:00:00,2023-01-05 11:00:00
108,5.0,1.0,2023.0,12.0,3.6,NE,13.9,NNE,2023-01-05 12:00:00,2023-01-05 12:00:00
109,5.0,1.0,2023.0,13.0,4.0,NE,13.0,N,2023-01-05 13:00:00,2023-01-05 13:00:00
110,5.0,1.0,2023.0,14.0,4.0,NE,16.5,NE,2023-01-05 14:00:00,2023-01-05 14:00:00
111,5.0,1.0,2023.0,15.0,4.0,NE,13.9,NNE,2023-01-05 15:00:00,2023-01-05 15:00:00
112,5.0,1.0,2023.0,16.0,3.6,NE,12.1,NE,2023-01-05 16:00:00,2023-01-05 16:00:00
113,5.0,1.0,2023.0,17.0,3.6,ENE,13.4,NNE,2023-01-05 17:00:00,2023-01-05 17:00:00
114,5.0,1.0,2023.0,18.0,3.1,NE,13.9,N,2023-01-05 18:00:00,2023-01-05 18:00:00
115,5.0,1.0,2023.0,19.0,4.0,NE,12.1,NE,2023-01-05 19:00:00,2023-01-05 19:00:00
116,5.0,1.0,2023.0,20.0,4.0,ENE,12.1,NNE,2023-01-05 20:00:00,2023-01-05 20:00:00
117,5.0,1.0,2023.0,21.0,2.7,ENE,13.0,NE,2023-01-05 21:00:00,2023-01-05 21:00:00
118,5.0,1.0,2023.0,22.0,2.7,ENE,10.3,NE,2023-01-05 22:00:00,2023-01-05 22:00:00
119,5.0,1.0,2023.0,23.0,2.7,ENE,11.2,NNE,2023-01-05 23:00:00,2023-01-05 23:00:00
120,6.0,1.0,2023.0,0.0,2.2,ENE,9.8,ENE,2023-01-06 00:00:00,2023-01-06 00:00:00
121,6.0,1.0,2023.0,1.0,3.1,NE,10.3,N,2023-01-06 01:00:00,2023-01-06 01:00:00
122,6.0,1.0,2023.0,2.0,3.6,NE,13.0,NE,2023-01-06 02:00:00,2023-01-06 02:00:00
123,6.0,1.0,2023.0,3.0,3.6,NE,13.0,NE,2023-01-06 03:00:00,2023-01-06 03:00:00
124,6.0,1.0,2023.0,4.0,2.7,ENE,11.2,NE,2023-01-06 04:00:00,2023-01-06 04:00:00
125,6.0,1.0,2023.0,5.0,2.7,NE,11.6,W,2023-01-06 05:00:00,2023-01-06 05:00:00
126,6.0,1.0,2023.0,6.0,2.7,E,11.6,ENE,2023-01-06 06:00:00,2023-01-06 06:00:00
127,6.0,1.0,2023.0,7.0,2.2,NE,8.5,NNE,2023-01-06 07:00:00,2023-01-06 07:00:00
128,6.0,1.0,2023.0,8.0,1.8,ENE,10.3,N,2023-01-06 08:00:00,2023-01-06 08:00:00
129,6.0,1.0,2023.0,9.0,1.8,ENE,8.5,NNE,2023-01-06 09:00:00,2023-01-06 09:00:00
130,6.0,1.0,2023.0,10.0,2.2,NE,9.8,WNW,2023-01-06 10:00:00,2023-01-06 10:00:00
131,6.0,1.0,2023.0,11.0,1.3,SW,7.2,NNE,2023-01-06 11:00:00,2023-01-06 11:00:00
132,6.0,1.0,2023.0,12.0,2.7,ENE,9.8,N,2023-01-06 12:00:00,2023-01-06 12:00:00
133,6.0,1.0,2023.0,13.0,2.7,ENE,12.1,NE,2023-01-06 13:00:00,2023-01-06 13:00:00
134,6.0,1.0,2023.0,14.0,2.7,NE,8.9,NNE,2023-01-06 14:00:00,2023-01-06 14:00:00
135,6.0,1.0,2023.0,15.0,2.7,ENE,11.2,NE,2023-01-06 15:00:00,2023-01-06 15:00:00
136,6.0,1.0,2023.0,16.0,2.2,ENE,8.5,NW,2023-01-06 16:00:00,2023-01-06 16:00:00
137,6.0,1.0,2023.0,17.0,2.2,ESE,7.2,WNW,2023-01-06 17:00:00,2023-01-06 17:00:00
138,6.0,1.0,2023.0,18.0,2.2,ENE,8.5,WNW,2023-01-06 18:00:00,2023-01-06 18:00:00
139,6.0,1.0,2023.0,19.0,1.8,ENE,8.9,N,2023-01-06 19:00:00,2023-01-06 19:00:00
140,6.0,1.0,2023.0,20.0,2.7,NE,11.2,NNE,2023-01-06 20:00:00,2023-01-06 20:00:00
141,6.0,1.0,2023.0,21.0,2.7,NE,14.3,N,2023-01-06 21:00:00,2023-01-06 21:00:00
142,6.0,1.0,2023.0,22.0,3.6,NE,12.1,NNE,2023-01-06 22:00:00,2023-01-06 22:00:00
143,6.0,1.0,2023.0,23.0,2.7,ENE,11.2,NW,2023-01-06 23:00:00,2023-01-06 23:00:00
